,Unnamed: 0,Unnamed: 0.1,question,sql,source
1976,1976,1976,"among patients who had a lab test for urine, how many of them had coronary artery disease\coronary artery bypass graft with mvr maze as primary disease?","SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""DIAGNOSIS"" = ""CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT WITH MVR; ? MAZE"" AND LAB.""FLUID"" = ""Urine""",medical
1977,1977,1977,count the number of patients with cholangitis primary disease who had blood lab test.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""DIAGNOSIS"" = ""COLANGITIS"" AND LAB.""FLUID"" = ""Blood""",medical
1978,1978,1978,count the number of patients whose primary disease is cerebral aneurysm/sda and lab test fluid is urine,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""DIAGNOSIS"" = ""CEREBRAL ANEURYSM/SDA"" AND LAB.""FLUID"" = ""Urine""",medical
1979,1979,1979,how many patients had sepsis as the primary disease and whose lab test fluid is urine?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""DIAGNOSIS"" = ""SEPSIS"" AND LAB.""FLUID"" = ""Urine""",medical
1980,1980,1980,count the number of patients who were diagnosed with sternal wound infection and their lab test category is hamatology.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""DIAGNOSIS"" = ""STERNAL WOUND INFECTION"" AND LAB.""CATEGORY"" = ""Hematology""",medical
1981,1981,1981,how many of the patients aged below 24 had a hospital stay of more than 15 days?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""AGE"" < ""24"" AND DEMOGRAPHIC.""DAYS_STAY"" > ""15""",medical
1982,1982,1982,give me the number of patients less than 45 years who were hospitalized for more than 20 days.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""AGE"" < ""45"" AND DEMOGRAPHIC.""DAYS_STAY"" > ""20""",medical
1983,1983,1983,provide the number of patients less than 59 years who were hospitalized for more than a day.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""AGE"" < ""59"" AND DEMOGRAPHIC.""DAYS_STAY"" > ""1""",medical
1984,1984,1984,how many patients below 67 years of age stayed in hospital for more than 34 days?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""AGE"" < ""67"" AND DEMOGRAPHIC.""DAYS_STAY"" > ""34""",medical
1985,1985,1985,how many patients who were less than 72 years stayed in hospital for more than 43 days?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""AGE"" < ""72"" AND DEMOGRAPHIC.""DAYS_STAY"" > ""43""",medical
1986,1986,1986,"among patients admitted in the year less than 2174, how many of them were aged below 30?","SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""AGE"" < ""30"" AND DEMOGRAPHIC.""ADMITYEAR"" < ""2174""",medical
1987,1987,1987,how many patients less than 89 years were admitted to hospital before 2195?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""AGE"" < ""89"" AND DEMOGRAPHIC.""ADMITYEAR"" < ""2195""",medical
1988,1988,1988,how many patients aged below 54 years were admitted before the year 2162?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""AGE"" < ""54"" AND DEMOGRAPHIC.""ADMITYEAR"" < ""2162""",medical
1989,1989,1989,how many patients are below 51 years of age and admitted before the year 2177?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""AGE"" < ""51"" AND DEMOGRAPHIC.""ADMITYEAR"" < ""2177""",medical
1990,1990,1990,how many patients diagnosed under the  icd9 code 7455 were under the age of 74?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""74"" AND DIAGNOSES.""ICD9_CODE"" = ""7455""",medical
1991,1991,1991,what is the number of patients with diagnoses icd9 code 53541 who are less than 85 years of age?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""85"" AND DIAGNOSES.""ICD9_CODE"" = ""53541""",medical
1992,1992,1992,how many patients aged below 86 were diagnosed with icd9 code 11284?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""86"" AND DIAGNOSES.""ICD9_CODE"" = ""11284""",medical
1993,1993,1993,tell me the number of patients less than 86 years with diagnoses icd9 code 45829.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""86"" AND DIAGNOSES.""ICD9_CODE"" = ""45829""",medical
1994,1994,1994,how many patients with diagnoses icd9 code v6284 are less than 64 years of age?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""64"" AND DIAGNOSES.""ICD9_CODE"" = ""V6284""",medical
1995,1995,1995,how many of the patients aged below 56 were diagnosed with poison-psychotropic agt?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""56"" AND DIAGNOSES.""SHORT_TITLE"" = ""Poison-psychotropic agt""",medical
1996,1996,1996,how many patients below 76 years of age are diagnosed with transient neonatal thrombocytopenia?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""76"" AND DIAGNOSES.""LONG_TITLE"" = ""Transient neonatal thrombocytopenia""",medical
1997,1997,1997,how many patients aged below 77 had other psoriasis?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""77"" AND DIAGNOSES.""LONG_TITLE"" = ""Other psoriasis""",medical
1998,1998,1998,what is the number of patients who are less than 61 years and have pseudomonas infection in conditions classified elsewhere and of unspecified site diagnoses?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""61"" AND DIAGNOSES.""LONG_TITLE"" = ""Pseudomonas infection in conditions classified elsewhere and of unspecified site""",medical
1999,1999,1999,find the number of patients less than 41 years with vascular hamartomas diagnoses.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""41"" AND DIAGNOSES.""LONG_TITLE"" = ""Vascular hamartomas""",medical
2000,2000,2000,specify the number of patients aged below 68 and treated with base drug,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""68"" AND PRESCRIPTIONS.""DRUG_TYPE"" = ""BASE""",medical
2001,2001,2001,give the number of patients who are below the age of 74 and drug type is base.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""74"" AND PRESCRIPTIONS.""DRUG_TYPE"" = ""BASE""",medical
2002,2002,2002,show me the number of patients on base type drug prescription who were younger than 30 years of age.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""30"" AND PRESCRIPTIONS.""DRUG_TYPE"" = ""BASE""",medical
2003,2003,2003,how many patients are below 56 years of age and uses the main drug type?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""56"" AND PRESCRIPTIONS.""DRUG_TYPE"" = ""MAIN""",medical
2004,2004,2004,how many patients aged below 74 years were given the drug voriconazole?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""74"" AND PRESCRIPTIONS.""DRUG"" = ""Voriconazole""",medical
2005,2005,2005,give me the number of patients less than 76 years who have norepinephrine prescription.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""76"" AND PRESCRIPTIONS.""DRUG"" = ""NORepinephrine""",medical
2006,2006,2006,tell me the number of patients less than 43 years who have methocarbamol prescription.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""43"" AND PRESCRIPTIONS.""DRUG"" = ""Methocarbamol""",medical
2007,2007,2007,how many patients below 77 years of age have been prescribed the drug acetaminophen-caff-butalbital?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""77"" AND PRESCRIPTIONS.""DRUG"" = ""Acetaminophen-Caff-Butalbital""",medical
2008,2008,2008,give the number of patients who are aged below 61 years with a drug name d12 5w.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""61"" AND PRESCRIPTIONS.""DRUG"" = ""D12.5W""",medical
2009,2009,2009,what is the number of patients less than 68 years who have vancomycin prescription?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""68"" AND PRESCRIPTIONS.""DRUG"" = ""Vancomycin""",medical
2010,2010,2010,"among patients treated with drug psyllium, how many of them were aged below 48?","SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""48"" AND PRESCRIPTIONS.""DRUG"" = ""Psyllium""",medical
2011,2011,2011,how many patients below 76 years of age have been prescribed the drug mycophenolate mofetil?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""76"" AND PRESCRIPTIONS.""DRUG"" = ""Mycophenolate Mofetil""",medical
2012,2012,2012,how many patients are below 81 years of age and suggested with drug code tiza2?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""81"" AND PRESCRIPTIONS.""FORMULARY_DRUG_CD"" = ""TIZA2""",medical
2013,2013,2013,how many of the patients aged below 56 were treated with sw100mlg?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""56"" AND PRESCRIPTIONS.""FORMULARY_DRUG_CD"" = ""SW100MLG""",medical
2014,2014,2014,"among patients treated with topi100, calculate the number of patients aged below 31?","SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""31"" AND PRESCRIPTIONS.""FORMULARY_DRUG_CD"" = ""TOPI100""",medical
2015,2015,2015,how many patients aged below 68 were treated with valc60l?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""68"" AND PRESCRIPTIONS.""FORMULARY_DRUG_CD"" = ""VALC60L""",medical
2016,2016,2016,how many patients less than 55 years of age have drug code syr60ml?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""55"" AND PRESCRIPTIONS.""FORMULARY_DRUG_CD"" = ""SYR60ML""",medical
2017,2017,2017,count the number of patients less than 44 years who take drug via nu route.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""44"" AND PRESCRIPTIONS.""ROUTE"" = ""NU""",medical
2018,2018,2018,count the number of patient less than 77 years who take drug via inhalation.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""77"" AND PRESCRIPTIONS.""ROUTE"" = ""INHALATION""",medical
2019,2019,2019,how many patients aged less than 47 years are given the drugs through both eyes?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""47"" AND PRESCRIPTIONS.""ROUTE"" = ""BOTH EYES""",medical
2020,2020,2020,"among patients aged below 45, calculate the total number of those to whom drug was adminitered via ih route?","SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""45"" AND PRESCRIPTIONS.""ROUTE"" = ""IH""",medical
2021,2021,2021,provide the number of patients less than 68 years who have lab test item id 51221.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""68"" AND LAB.""ITEMID"" = ""51221""",medical
2022,2022,2022,show me the number of patients less than 71 years who have lab test item id 50856.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""71"" AND LAB.""ITEMID"" = ""50856""",medical
2023,2023,2023,count the number of patients less than 89 years who have lab test item id 50953.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""89"" AND LAB.""ITEMID"" = ""50953""",medical
2024,2024,2024,calculate the number of patients aged below 70 who had item id 50810,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""70"" AND LAB.""ITEMID"" = ""50810""",medical
2025,2025,2025,how many patients are below 70 years of age and lab test item id 50965?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""70"" AND LAB.""ITEMID"" = ""50965""",medical
2026,2026,2026,give me the number of patients less than 89 years who have abnormal lab test status.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""89"" AND LAB.""FLAG"" = ""abnormal""",medical
2027,2027,2027,give the number of patients who are aged below 27 years whose lab test abnormal status is delta.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""27"" AND LAB.""FLAG"" = ""delta""",medical
2028,2028,2028,how many patients are below 30 years of age and tested with lab test abnormal status?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""30"" AND LAB.""FLAG"" = ""delta""",medical
2029,2029,2029,how many patients aged below 41 had abnormal lab test results?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""41"" AND LAB.""FLAG"" = ""abnormal""",medical
2030,2030,2030,"among patients who had abnormal delta lab test results, how many of them were aged below 48?","SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""48"" AND LAB.""FLAG"" = ""delta""",medical
2031,2031,2031,"among patients who had abnormal lab test results, how many of them were aged below 49?","SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""AGE"" < ""49"" AND LAB.""FLAG"" = ""abnormal""",medical
2032,2032,2032,show me the number of patients with a diagnoses icd9 code of 4846 who were hospitalized for more than 15 days.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""DAYS_STAY"" > ""15"" AND DIAGNOSES.""ICD9_CODE"" = ""4846""",medical
2033,2033,2033,get the number of patients with diagnoses icd9 code 3970 who were hospitalized for more than a day.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""DAYS_STAY"" > ""1"" AND DIAGNOSES.""ICD9_CODE"" = ""3970""",medical
2034,2034,2034,how many patients have stayed in the hospital for more than 10 days and diagnosis icd9 code is 76513?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""DAYS_STAY"" > ""10"" AND DIAGNOSES.""ICD9_CODE"" = ""76513""",medical
2035,2035,2035,provide the number of patients with diagnoses icd9 code v168 who were admitted in hospital for more than 14 days.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""DAYS_STAY"" > ""14"" AND DIAGNOSES.""ICD9_CODE"" = ""V168""",medical
2036,2036,2036,give me the number of patients with diagnoses icd9 code 59654 who were hospitalized for more than 6 days.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""DAYS_STAY"" > ""6"" AND DIAGNOSES.""ICD9_CODE"" = ""59654""",medical
2037,2037,2037,"out of total number of patients who had a hospital stay for more than 10 days, how many of them had icd9 code v3101?","SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""DAYS_STAY"" > ""10"" AND DIAGNOSES.""ICD9_CODE"" = ""V3101""",medical
2038,2038,2038,"how many patients who had cardiopulmonary resustication ,not otherwise specified had to stay in the hospital for more than 2 days?","SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""DAYS_STAY"" > ""6"" AND PROCEDURES.""LONG_TITLE"" = ""Cardiopulmonary resuscitation, not otherwise specified""",medical
2039,2039,2039,how many other cystoscopy procedure patients stayed in hospital for more than 17 days? ,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""DAYS_STAY"" > ""17"" AND PROCEDURES.""LONG_TITLE"" = ""Other cystoscopy""",medical
2040,2040,2040,how many patients stayed in hospital above 11 days and followed the procedure arterial catheterization?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""DAYS_STAY"" > ""11"" AND PROCEDURES.""LONG_TITLE"" = ""Arterial catheterization""",medical
2041,2041,2041,count the number of patients who had other percutaneous procedures on biliary tract and were hospitalized for more than 5 days.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""DAYS_STAY"" > ""5"" AND PROCEDURES.""LONG_TITLE"" = ""Other percutaneous procedures on biliary tract""",medical
2042,2042,2042,"provide me the number of single liveborn, born in hospital, delivered without mention of cesarean section patients who were admitted in hospital before the year 2174.","SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""ADMITYEAR"" < ""2174"" AND DIAGNOSES.""SHORT_TITLE"" = ""Single lb in-hosp w/o cs""",medical
2043,2043,2043,give the number of patients who were admitted before the year 2176 and whose diagnosis short title is hypopotassemia.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""ADMITYEAR"" < ""2176"" AND DIAGNOSES.""SHORT_TITLE"" = ""Hypopotassemia""",medical
